,Name,Team,Sample 0,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Mean,Std,Median,5th,16th,84th,95th
468,Saad El-Hawli,Essendon,0.0,0.01343283970119497,0.0,0.0006269762264580363,0.0,0.0,0.0,0.01903997038174235,0.0018187471081610952,0.0004666436473679106,0.0009261345414350664,0.003301028327850857,0.006541203314804314,0.0004666436473679106,0.0,0.0,0.006580525071304986,0.016516761575496024
558,Nik Cox,Essendon,0.0,0.01294624380304242,0.0022283991375652828,0.0,0.0,0.0,0.0,0.024870515469887344,0.001598413630653463,0.004077269559063327,0.0003977866571120696,0.004192602568847627,0.007855531421712577,0.0003977866571120696,0.0,0.0,0.007713548999094756,0.019504593219807118
271,Max Kondogiannis,Essendon,0.0,0.006738282207706426,0.0,0.0,0.0,0.0007881459461117264,0.0,0.058587176537114434,0.0006274399013523951,0.009240832284185102,0.0,0.00690744335240637,0.01743395832143289,0.0,0.0,0.0,0.007764327739062683,0.03638132162329619
471,Matt Guelfi,Essendon,0.0,0.012805709264133684,0.0,0.0,0.0,0.0,0.0,0.04526248836782869,0.0,0.005175725379016297,0.002656037431965813,0.005990905494813134,0.013607796573724708,0.0,0.0,0.0,0.008304018771914426,0.030656937771165904
610,Harrison Jones,Essendon,0.0,0.008447861446429013,0.0,0.0,0.0,0.0,0.0,0.033200500982429534,0.0,0.009754824980109518,0.0015022980085384375,0.004809589583409682,0.010082655734637186,0.0,0.0,0.0,0.00898371649523802,0.022649946781385502
277,Jayden Nguyen,Essendon,0.0,0.010457296440398242,0.0,0.0,0.0,0.00042588150596607234,0.0,0.025934450038046595,0.0009918294870046066,0.0006461030460402493,0.0,0.003495960047041434,0.00805663822197081,0.0,0.0,0.0,0.004872670937895999,0.01896973091910482
656,Rhys Unwin,Essendon,0.0,0.005672165337666148,0.0,0.0,0.0,0.0,0.0,0.02272937037895602,0.0,0.0022612453201328727,0.002059423402843116,0.0029747458581452875,0.006788313122311812,0.0,0.0,0.0,0.003659722527321516,0.01505362811037556
650,Jaxon Artemis,Essendon,0.0,0.0049672472272405625,4.9219027285416125e-05,0.0,0.0,0.0,0.0,0.016157043342661263,0.0032466617547904425,0.0010115046351436131,0.0,0.0023119705442837543,0.004883571290651481,0.0,0.0,0.0,0.003952101798494992,0.011121635090721936
270,Brayden Fiorini,Essendon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020275305299958107,0.0,0.0,0.0,0.00018432095727234643,0.0006113234562715027,0.0,0.0,0.0,0.0,0.0011151417914976938
283,Luke Jackson,Fremantle,15.669419558107515,15.607447206586757,15.897655267694383,15.774975740054565,16.649334116598016,15.942738049714823,15.496955361369467,15.543489502033273,15.694960340220252,15.66181069939179,15.902515062964632,15.803754627703226,0.3168833787873255,15.694960340220252,15.517895724668179,15.58122454771983,15.91900648753221,16.331365886500578
285,Caleb Serong,Fremantle,13.574478510500839,13.307347105659174,13.261952534512153,13.255264551948514,13.30625534559575,13.42200580457337,13.466502079009091,13.21122606481926,13.30691295183088,13.3369011274684,13.457117336823618,13.35508758297646,0.11049157527731009,13.307347105659174,13.231043384027425,13.25921046166106,13.460965081119662,13.525889116329552
288,Shai Bolton,Fremantle,11.558913833007026,11.518915945380423,11.572246574281118,11.63136240003087,11.622672326434628,11.663338052332145,11.67894981115647,11.71811801693049,11.554113561911084,11.720001572552077,11.809646052264341,11.640752558752787,0.08770185860206416,11.63136240003087,11.53475487281922,11.556945721857689,11.71889027473534,11.769306036393822
300,Andrew Brayshaw,Fremantle,11.5323064230826,11.244032657629448,11.375705038129873,11.366874741759133,11.420434404047754,11.560552357504438,11.341962373466098,11.379031682674707,11.284737328936297,11.206834571605986,11.40660114850103,11.374461157030668,0.10816116396451368,11.375705038129873,11.223573710316543,11.26804841370049,11.46630193185204,11.54784168701461
297,Jye Amiss,Fremantle,9.425698602728087,9.782268389817022,9.638364275594624,9.494895793975292,9.917600457508813,9.83776798681362,9.61067776906683,9.781955871991727,9.535333298493038,9.326340669927543,9.572453362653357,9.629396043506361,0.18359512585786086,9.61067776906683,9.371051739687788,9.466524945563938,9.805023224585627,9.881675845695977
302,Murphy Reid,Fremantle,8.73594565512672,8.602802380145677,8.35919118657546,8.521854781831598,8.577655911057246,8.631970301656374,8.732182911677768,8.870893866071931,8.489965802307987,8.690499016403123,8.81067224691951,8.638512187252127,0.14944133282292693,8.631970301656374,8.418039763655097,8.508780300226917,8.766583557761763,8.843794137453342
291,Josh Treacy,Fremantle,8.074178361566204,8.233905967659096,8.166569955639575,8.081116247774489,8.223765400506045,8.230452136236696,8.195593319050099,8.08781468274401,8.180148198699335,8.144856687389277,8.29923557656003,8.174330593984076,0.07236240805562445,8.180148198699335,8.077300410359932,8.085068324406507,8.23186820711988,8.269837252554609
308,Patrick Voss,Fremantle,3.4817538089716242,3.573178385611169,3.551874541184437,3.400366296523969,3.658749421183021,3.608013065398756,3.556694259122015,3.623112947633503,3.5558556677429403,3.5491357513441057,3.593202753131463,3.559266990713364,0.07009113582642018,3.556694259122015,3.4369906771254137,3.521509154971388,3.6142040171150023,3.642713008085738
304,Karl Worner,Fremantle,3.3775345675660495,3.347889030996458,3.458732687752273,3.372279965641218,3.414907709633313,3.4193197060687015,3.4066660418094457,3.3028104200010184,3.3626567850764237,3.225968838933624,3.3826035794527507,3.3701244848119334,0.06299992441962661,3.3775345675660495,3.2605475504139516,3.3294068004883277,3.416716628171822,3.4409968459946656
290,Jordan Clark,Fremantle,2.772812626025511,2.7328847167738566,2.739615477540535,2.7029699396272404,2.6145660245976883,2.7173496452346577,2.760811257600363,2.649558979308481,2.769347935180274,2.7285817964648404,2.683055378908465,2.7155957979329015,0.050041210029725565,2.7285817964648404,2.630312854217545,2.6693218550724715,2.7643112954081266,2.7712535151451543
294,Matthew Johnson,Fremantle,2.3294509424268575,2.251278062715401,2.166311217142026,2.202534934577339,2.0668543081194333,2.0897572988150923,2.2589146883153104,2.2088804104908633,2.161995396755864,2.328500988530351,2.2142299482865195,2.207155290561369,0.08459050901345268,2.2088804104908633,2.07716065393248,2.1323777766001477,2.287445071403477,2.3290234631734297
537,Michael Frederick,Fremantle,1.4849433026988823,1.620934821940251,1.5867332715587952,1.6111910125064781,1.6550793356521993,1.615688190067228,1.602927715221666,1.7069393590390536,1.6335794264205115,1.603198614594747,1.6037590692545245,1.6113612835413031,0.05332361481978838,1.6111910125064781,1.530748788685843,1.596287993319889,1.6423943892055035,1.6836023485149691
442,Luke Ryan,Fremantle,1.4863532188739794,1.536047657451059,1.4924533984582384,1.6316165754684557,1.3919853981165446,1.4660136289974772,1.5093848238453975,1.6080933019143266,1.4904443701893777,1.4183287370585982,1.4888047892988094,1.5017750817883877,0.07093108258884309,1.4904443701893777,1.4038399006404687,1.4464628233025367,1.5655863716809988,1.6210311023690975
289,Hayden Young,Fremantle,1.1687293210620104,1.2669389585434763,1.1384895793281176,1.2385764756876334,1.0684580180450962,1.1819554373685492,1.1137220656169298,1.2011935575409425,1.2220057339552688,1.3094326880478118,1.1712546981491663,1.1891596848495458,0.06913608523675499,1.1819554373685492,1.0888268394524212,1.1283348987065305,1.250205093658529,1.2903105097708607
299,Oscar McDonald,Fremantle,1.0583024429858436,1.0063900759210862,0.9822732973778548,1.0051943278788027,0.9347924999655864,1.0235971149590617,1.0289852080404374,1.0154074036567922,0.9972277332858739,1.0153662843147855,1.06780441699082,1.012303709579722,0.03583803898133895,1.0153662843147855,0.9561588588011072,0.9910964145635861,1.041005274368054,1.0635285286885807
298,Alex Pearce,Fremantle,0.6397814055800953,0.6119753488907518,0.7129552689958496,0.5477923496225878,0.5886731355221989,0.6135563756745607,0.6502835086290488,0.6449604609254144,0.6270709803676943,0.6723042068703552,0.6012776507649794,0.6282391538039578,0.04388948512723379,0.6270709803676943,0.5661887032774128,0.5961097995154394,0.6593119949079844,0.694662291039377
307,Neil Erasmus,Fremantle,0.41824404173850227,0.4493429679095583,0.4872925705061628,0.5710925611769189,0.43444521112701867,0.43277532641894234,0.49360346550503975,0.47872457760069265,0.5177827793783679,0.4912450394433435,0.4343866081676785,0.4735395589974751,0.04557657118581718,0.47872457760069265,0.4247831198447003,0.4337259826506967,0.5035169841931043,0.5471031593675709
